序号,层级,优先级,账号名,分类,监控重点,已关注
1,S,⭐⭐⭐,小小101,韩系顶流,看色系趋势,
2,S,⭐⭐⭐,晨妍,韩系顶流,看版型方向,
3,S,⭐⭐⭐,美洋MEIYANG,韩系顶流,看月度流行,
4,A,⭐⭐⭐,刘一一Cocozone,品牌店铺,品牌运营+选款,
5,A,⭐⭐⭐,ROMI STUDIO,品牌店铺,品牌打法,
6,A,⭐⭐⭐,DH OFFICIAL 大花,韩系穿搭,风格对标,
7,A,⭐⭐,呦妮姐姐全球购,韩国购,韩国款式,
8,A,⭐⭐,小谷粒,女装店铺,选款数据,
9,B,⭐⭐⭐,濮院美鱼家.主理人,濮院工厂,同行工厂,
10,B,⭐⭐⭐,CNC. 濮院国贸8308,濮院档口,毛衣源头,
11,B,⭐⭐,濮院 Potato.洋芋,濮院档口,同行款式,
12,B,⭐⭐,濮院 Dumpling 饺子家,濮院档口,同行款式,
13,B,⭐⭐,濮院世贸 AS 艾搜,濮院世贸,同行源,
14,B,⭐⭐⭐,东大门欧尼社,韩国档口,新款第一手,
15,B,⭐⭐⭐,apm米悦服饰,APM档口,韩国源头,
16,B,⭐⭐,Pale Seoul 南城3楼,韩国档口,东大门新款,
17,B,⭐⭐,包子姐姐东大门,东大门,东大门款,
18,B,⭐⭐,SHENG STUDIO丶Korea,韩国工作室,韩国款,
19,B,⭐⭐⭐,金马毛衣的圆圆,毛衣专营,品类对标,
20,B,⭐⭐⭐,Zz 毛衣针织,针织品,针织对标,
21,B,⭐⭐,色芝嵄艺术针织,针织供应链,供应链,
22,B,⭐⭐,金花羊绒,羊绒针织,高端参考,
23,C,⭐⭐,欧尼 studio 韩系穿搭,韩系穿搭,搭配灵感,
24,C,⭐⭐,两美元,韩系穿搭,风格参考,
25,C,⭐⭐,彩虹欧尼,韩系欧尼,韩风参考,
26,C,⭐⭐,陳小姐穿搭日记,穿搭博主,日常韩系,
27,C,⭐⭐,时一穿搭,穿搭博主,搭配参考,
28,C,⭐⭐,UOOV,品牌,韩系品牌,
29,C,⭐⭐,Blanc白先生,品牌,简约风格,
30,C,⭐,HONGYUAN 虹源,品牌,款参考,
