层级,优先级,账号名,分类,监控用途,备注
S,⭐⭐⭐,小小101,头部韩系,大盘趋势,PDF有
S,⭐⭐⭐,晨妍,头部韩系,大盘趋势,PDF有
S,⭐⭐⭐,美洋MEIYANG,头部韩系,大盘趋势,PDF有
A,⭐⭐⭐,刘一一Cocozone,品牌店铺,品牌运营参考,PDF有/COCO ZONE
A,⭐⭐⭐,ROMI STUDIO,品牌店铺,品牌化打法,PDF有
A,⭐⭐⭐,DH OFFICIAL 大花,韩系穿搭,风格对标,PDF有/大花韩系穿搭
A,⭐⭐⭐,小谷粒,女装店铺,选款对标,PDF有
A,⭐⭐,呦妮姐姐全球购,韩国全球购,韩国款式参考,PDF有/呦妮韩国女装
B,⭐⭐⭐,东大门欧尼社,韩国档口,新款源头监控,核心！
B,⭐⭐⭐,Pale Seoul 南城3楼加30档,韩国档口,东大门新款,核心！
B,⭐⭐⭐,CNC. 濮院国贸8308,濮院档口,濮院毛衣源头,核心！跟你是同行
B,⭐⭐⭐,apm米悦服饰,APM档口,韩国APM市场,核心！APM是韩系源头
B,⭐⭐,欧尼 studio 韩系穿搭,韩系穿搭,搭配灵感,
B,⭐⭐,UOOV,品牌店铺,韩系品牌参考,
B,⭐⭐,HONGYUAN 虹源,服装品牌,款式参考,
C,⭐⭐⭐,濮院美鱼家.主理人,濮院工厂,同行工厂对标,重点！同是濮院系
C,⭐⭐⭐,金马毛衣的圆圆,毛衣专营,毛衣品类对标,重点！毛衣垂直
C,⭐⭐,两美元,韩系穿搭,风格参考,
C,⭐⭐,陳小姐穿搭日记,穿搭博主,日常韩系,
C,⭐⭐,子期在路上✨,穿搭博主,生活方式,
C,⭐⭐,十七讲服装,服装知识,行业知识,
C,⭐⭐,TEA.H 茶壶,服装品牌,品牌参考,
C,⭐,MISS LEMON 柠檬,穿搭博主,风格参考,
C,⭐,佳妮 Jiani official,穿搭博主,风格参考,
C,⭐,데일리 daily,韩系日常,韩国风参考,
C,⭐,aimaoooo,穿搭博主,参考,
