层级,优先级,账号名,分类,监控重点,备注
S,⭐⭐⭐,小小101,韩系顶流,看色系趋势,
S,⭐⭐⭐,晨妍,韩系顶流,看版型方向,
S,⭐⭐⭐,美洋MEIYANG,韩系顶流,看月度流行,
A,⭐⭐⭐,刘一一Cocozone,品牌店铺,品牌运营+选款对标,
A,⭐⭐⭐,ROMI STUDIO,品牌店铺,品牌打法参考,
A,⭐⭐⭐,DH OFFICIAL 大花,韩系穿搭,风格对标,
A,⭐⭐,呦妮姐姐全球购,韩国购,韩国款式参考,
B,⭐⭐⭐,濮院美鱼家.主理人,濮院工厂,同行工厂，看出什么款,🔥最重要
B,⭐⭐⭐,CNC. 濮院国贸8308,濮院档口,濮院毛衣源头,
B,⭐⭐,濮院 Potato.洋芋,濮院档口,同行款式,
B,⭐⭐,濮院 Dumpling 饺子家,濮院档口,同行款式,
B,⭐⭐⭐,东大门欧尼社,韩国档口,韩系新款第一手,
B,⭐⭐⭐,apm米悦服饰,APM档口,韩国源头,
B,⭐⭐,Pale Seoul 南城3楼,韩国档口,东大门新款,
B,⭐⭐⭐,金马毛衣的圆圆,毛衣专营,只做毛衣，直接对标,
B,⭐⭐⭐,Zz 毛衣针织,针织品,针织品类对标,
B,⭐⭐,色芝嵄艺术针织,针织供应链,供应链参考,
